#1
double PVProduction( 35041, 2 ) # Time [s]; PVout [kW]
0;0
900;0
1800;0
2700;0
3600;0
4500;0
5400;0
6300;0
7200;0
8100;0
9000;0
9900;0
10800;0
11700;0
12600;0
13500;0
14400;0
15300;0
16200;0
17100;0
18000;0
18900;0
19800;0
20700;0
21600;0
22500;0
23400;0
24300;0
25200;0
26100;0
27000;0
27900;0
28800;0
29700;0
30600;0
31500;0
32400;0
33300;0
34200;0
35100;0.015
36000;0.038
36900;0.053
37800;0.06
38700;0.15
39600;0.15
40500;0.188
41400;0.225
42300;0.21
43200;0.248
44100;0.36
45000;0.353
45900;0.323
46800;0.33
47700;0.428
48600;0.48
49500;0.51
50400;0.45
51300;0.488
52200;0.443
53100;0.413
54000;0.323
54900;0.255
55800;0.195
56700;0
57600;0
58500;0
59400;0
60300;0
61200;0
62100;0
63000;0
63900;0
64800;0
65700;0
66600;0
67500;0
68400;0
69300;0
70200;0
71100;0
72000;0
72900;0
73800;0
74700;0
75600;0
76500;0
77400;0
78300;0
79200;0
80100;0
81000;0
81900;0
82800;0
83700;0
84600;0
85500;0
86400;0
87300;0
88200;0
89100;0
90000;0
90900;0
91800;0
92700;0
93600;0
94500;0
95400;0
96300;0
97200;0
98100;0
99000;0
99900;0
100800;0
101700;0
102600;0
103500;0
104400;0
105300;0
106200;0
107100;0
108000;0
108900;0
109800;0
110700;0
111600;0
112500;0
113400;0
114300;0
115200;0
116100;0
117000;0
117900;0
118800;0
119700;0.015
120600;0.038
121500;0.053
122400;0.06
123300;0.15
124200;0.15
125100;0.188
126000;0.225
126900;0.21
127800;0.248
128700;0.36
129600;0.353
130500;0.323
131400;0.33
132300;0.428
133200;0.48
134100;0.51
135000;0.45
135900;0.488
136800;0.443
137700;0.413
138600;0.323
139500;0.255
140400;0.195
141300;0
142200;0
143100;0
144000;0
144900;0
145800;0
146700;0
147600;0
148500;0
149400;0
150300;0
151200;0
152100;0
153000;0
153900;0
154800;0
155700;0
156600;0
157500;0
158400;0
159300;0
160200;0
161100;0
162000;0
162900;0
163800;0
164700;0
165600;0
166500;0
167400;0
168300;0
169200;0
170100;0
171000;0
171900;0
172800;0
173700;0
174600;0
175500;0
176400;0
177300;0
178200;0
179100;0
180000;0
180900;0
181800;0
182700;0
183600;0
184500;0
185400;0
186300;0
187200;0
188100;0
189000;0
189900;0
190800;0
191700;0
192600;0
193500;0
194400;0
195300;0
196200;0
197100;0
198000;0
198900;0
199800;0
200700;0
201600;0
202500;0
203400;0
204300;0
205200;0
206100;0.015
207000;0.038
207900;0.053
208800;0.06
209700;0.15
210600;0.15
211500;0.188
212400;0.225
213300;0.21
214200;0.248
215100;0.36
216000;0.353
216900;0.323
217800;0.33
218700;0.428
219600;0.48
220500;0.51
221400;0.45
222300;0.488
223200;0.443
224100;0.413
225000;0.323
225900;0.255
226800;0.195
227700;0
228600;0
229500;0
230400;0
231300;0
232200;0
233100;0
234000;0
234900;0
235800;0
236700;0
237600;0
238500;0
239400;0
240300;0
241200;0
242100;0
243000;0
243900;0
244800;0
245700;0
246600;0
247500;0
248400;0
249300;0
250200;0
251100;0
252000;0
252900;0
253800;0
254700;0
255600;0
256500;0
257400;0
258300;0
259200;0
260100;0
261000;0
261900;0
262800;0
263700;0
264600;0
265500;0
266400;0
267300;0
268200;0
269100;0
270000;0
270900;0
271800;0
272700;0
273600;0
274500;0
275400;0
276300;0
277200;0
278100;0
279000;0
279900;0
280800;0
281700;0
282600;0
283500;0
284400;0
285300;0
286200;0
287100;0
288000;0
288900;0
289800;0
290700;0
291600;0.015
292500;0.038
293400;0.053
294300;0.06
295200;0.15
296100;0.15
297000;0.188
297900;0.225
298800;0.21
299700;0.248
300600;0.36
301500;0.353
302400;0.323
303300;0.33
304200;0.428
305100;0.48
306000;0.51
306900;0.45
307800;0.488
308700;0.443
309600;0.413
310500;0.323
311400;0.255
312300;0.195
313200;0.098
314100;0.06
315000;0.045
315900;0.023
316800;0
317700;0
318600;0
319500;0
320400;0
321300;0
322200;0
323100;0
324000;0
324900;0
325800;0
326700;0
327600;0
328500;0
329400;0
330300;0
331200;0
332100;0
333000;0
333900;0
334800;0
335700;0
336600;0
337500;0
338400;0
339300;0
340200;0
341100;0
342000;0
342900;0
343800;0
344700;0
345600;0
346500;0
347400;0
348300;0
349200;0
350100;0
351000;0
351900;0
352800;0
353700;0
354600;0
355500;0
356400;0
357300;0
358200;0
359100;0
360000;0
360900;0
361800;0
362700;0
363600;0
364500;0
365400;0
366300;0
367200;0
368100;0
369000;0
369900;0
370800;0
371700;0
372600;0
373500;0
374400;0
375300;0
376200;0
377100;0
378000;0.015
378900;0.045
379800;0.068
380700;0.09
381600;0.083
382500;0.113
383400;0.188
384300;0.278
385200;0.225
386100;0.15
387000;0.21
387900;0.195
388800;0.188
389700;0.308
390600;0.21
391500;0.135
392400;0.12
393300;0.098
394200;0.098
395100;0.113
396000;0.12
396900;0.225
397800;0.33
398700;0.158
399600;0.143
400500;0.09
401400;0.06
402300;0.038
403200;0.008
404100;0.008
405000;0
405900;0
406800;0
407700;0
408600;0
409500;0
410400;0
411300;0
412200;0
413100;0
414000;0
414900;0
415800;0
416700;0
417600;0
418500;0
419400;0
420300;0
421200;0
422100;0
423000;0
423900;0
424800;0
425700;0
426600;0
427500;0
428400;0
429300;0
430200;0
431100;0
432000;0
432900;0
433800;0
434700;0
435600;0
436500;0
437400;0
438300;0
439200;0
440100;0
441000;0
441900;0
442800;0
443700;0
444600;0
445500;0
446400;0
447300;0
448200;0
449100;0
450000;0
450900;0
451800;0
452700;0
453600;0
454500;0
455400;0
456300;0
457200;0
458100;0
459000;0
459900;0
460800;0
461700;0
462600;0.015
463500;0.045
464400;0.008
465300;0.023
466200;0.285
467100;0.585
468000;0.683
468900;0.825
469800;0.93
470700;1.065
471600;1.178
472500;1.358
473400;1.448
474300;1.553
475200;1.635
476100;1.68
477000;1.733
477900;1.785
478800;1.8
479700;1.785
480600;1.718
481500;1.358
482400;1.035
483300;1.058
484200;0.938
485100;0.863
486000;0.63
486900;0.533
487800;0.315
488700;0.06
489600;0.038
490500;0
491400;0
492300;0
493200;0
494100;0
495000;0
495900;0
496800;0
497700;0
498600;0
499500;0
500400;0
501300;0
502200;0
503100;0
504000;0
504900;0
505800;0
506700;0
507600;0
508500;0
509400;0
510300;0
511200;0
512100;0
513000;0
513900;0
514800;0
515700;0
516600;0
517500;0
518400;0
519300;0
520200;0
521100;0
522000;0
522900;0
523800;0
524700;0
525600;0
526500;0
527400;0
528300;0
